id,loan_status,grade,loan_amnt,term,home_ownership,annual_inc,dti,delinq_2yrs,inq_last_6mths,total_acc
37681303,Charged Off,D,19500, 36 months,OWN,62000,22.18,0,0,22
37781880,Charged Off,D,16000, 60 months,RENT,55000,16.23,2,3,22
37721827,Charged Off,D,7175, 36 months,OWN,20000,14.71,0,0,9
37761813,Charged Off,E,16475, 60 months,RENT,46000,31.85,0,0,61
37611956,Charged Off,B,11850, 36 months,OWN,40000,24.809999,0,0,18
37711779,Charged Off,G,35000, 60 months,MORTGAGE,102000,24.49,1,1,25
37621715,Charged Off,B,20000, 36 months,MORTGAGE,65000,27.879999,0,1,21
37791691,Charged Off,B,15000, 36 months,RENT,46000,26.77,0,0,17
37801349,Charged Off,F,13225, 60 months,OWN,60000,25,0,1,10
37681700,Charged Off,C,7675, 36 months,RENT,26880,22.59,2,1,15
37761751,Charged Off,C,35000, 60 months,RENT,90000,13.83,0,1,13
37751815,Charged Off,D,13475, 36 months,RENT,45000,17.07,0,2,31
35823892,Charged Off,E,23925, 60 months,MORTGAGE,65000,24.799999,0,1,31
37831116,Charged Off,B,13000, 60 months,MORTGAGE,69000,14.86,0,0,28
37731637,Charged Off,C,12000, 36 months,MORTGAGE,95000,24.25,0,0,38
37600999,Charged Off,E,16000, 60 months,MORTGAGE,110000,18.809999,0,0,25
37841570,Charged Off,E,24000, 60 months,MORTGAGE,85000,10.22,0,1,19
37661596,Charged Off,D,12000, 60 months,OWN,38550,25.639999,0,1,22
37640708,Charged Off,D,16000, 60 months,MORTGAGE,64000,25.780001,0,1,39
37631658,Charged Off,C,30000, 60 months,MORTGAGE,102000,16.139999,1,0,23
37681573,Charged Off,D,30225, 60 months,MORTGAGE,84000,17.219999,0,0,19
37671674,Charged Off,C,5000, 36 months,RENT,26880,29.209999,0,0,18
37830850,Charged Off,E,30000, 60 months,MORTGAGE,72000,24.700001,0,0,32
37127479,Charged Off,C,15000, 36 months,MORTGAGE,48000,23.08,1,0,18
36059066,Charged Off,C,11200, 60 months,MORTGAGE,55000,12.83,0,1,32
37651582,Charged Off,B,4500, 36 months,MORTGAGE,52000,20.290001,0,0,15
37731386,Charged Off,D,4800, 36 months,RENT,23000,8.8199997,1,0,31
37641524,Charged Off,A,8000, 36 months,RENT,42000,29.370001,2,0,39
37761554,Charged Off,C,15000, 60 months,MORTGAGE,42000,29.66,0,3,33
37811432,Charged Off,E,24000, 60 months,RENT,85000,16.620001,0,3,10
37641514,Charged Off,C,16000, 60 months,RENT,77000,19.120001,0,0,16
37751566,Charged Off,C,10000, 60 months,OWN,55000,10.02,0,0,62
37751581,Charged Off,D,23000, 60 months,OWN,65000,35.279999,0,0,42
36119630,Charged Off,B,20000, 60 months,OWN,110000,7.8800001,0,0,16
37711490,Charged Off,C,20000, 60 months,RENT,72000,13.77,0,0,8
36119381,Charged Off,D,15000, 60 months,MORTGAGE,42000,20.66,0,0,15
37631457,Charged Off,C,12000, 36 months,RENT,43000,34.130001,0,0,17
37830811,Charged Off,D,25000, 60 months,RENT,120000,32.41,0,0,22
37720929,Charged Off,D,14000, 60 months,MORTGAGE,90000,17.48,0,0,33
37671430,Charged Off,A,15000, 36 months,MORTGAGE,58000,6.5599999,0,0,17
37651373,Charged Off,C,12000, 36 months,MORTGAGE,115000,8.8199997,2,1,18
37641419,Charged Off,D,5875, 36 months,MORTGAGE,75000,12.77,0,0,22
37741416,Charged Off,F,30000, 60 months,MORTGAGE,97000,23.91,2,2,45
37771432,Charged Off,F,20000, 60 months,MORTGAGE,80000,6.5900002,1,0,37
37691476,Charged Off,D,29000, 36 months,RENT,77000,25.360001,1,2,29
37821372,Charged Off,A,18000, 36 months,RENT,99000,5.9400001,0,1,11
37631364,Charged Off,B,3500, 36 months,MORTGAGE,120000,18.18,0,1,47
37800951,Charged Off,B,6500, 36 months,MORTGAGE,33000,23.379999,0,0,10
37601478,Charged Off,C,10800, 60 months,OWN,45900,31.82,0,0,17
37791297,Charged Off,D,20000, 60 months,RENT,50000,38.419998,0,1,21
37751281,Charged Off,E,25325, 36 months,RENT,70611,37.73,0,0,41
37701404,Charged Off,B,6500, 36 months,RENT,34990,18.66,1,0,14
37661348,Charged Off,C,5000, 36 months,RENT,54000,14.4,0,1,14
36361523,Charged Off,D,18625, 36 months,RENT,52000,20.469999,0,1,21
36049003,Charged Off,D,10000, 36 months,RENT,40000,20.129999,0,2,25
37801417,Charged Off,D,6400, 36 months,RENT,49000,23.120001,4,2,42
37841307,Charged Off,B,9600, 36 months,MORTGAGE,78000,11.08,1,2,35
37801410,Charged Off,D,29675, 60 months,RENT,65000,16.620001,0,0,18
37711348,Charged Off,E,15000, 60 months,MORTGAGE,150000,5.4000001,0,4,34
37811405,Charged Off,E,11000, 60 months,MORTGAGE,75000,21.17,0,0,47
37671369,Charged Off,F,14000, 60 months,RENT,92000,2.1400001,0,1,5
37841270,Charged Off,B,28000, 60 months,MORTGAGE,220000,14.09,0,0,34
37661102,Charged Off,D,11500, 60 months,RENT,43000,29.780001,1,1,21
37147283,Charged Off,D,15000, 60 months,RENT,65000,24.219999,0,2,36
37621311,Charged Off,C,16000, 60 months,MORTGAGE,62000,21.780001,2,0,16
37771289,Charged Off,B,12000, 36 months,RENT,70000,5.9299998,0,2,21
37770329,Charged Off,A,10000, 36 months,MORTGAGE,150000,21.780001,0,1,30
37791215,Charged Off,C,13000, 60 months,MORTGAGE,83000,15.96,0,0,36
36802629,Charged Off,C,26875, 60 months,MORTGAGE,53800,15.93,0,0,21
37761212,Charged Off,A,15000, 36 months,MORTGAGE,108000,9.3400002,0,0,17
37307703,Charged Off,C,11750, 36 months,MORTGAGE,53000,10.01,0,0,22
37327754,Charged Off,C,15000, 36 months,RENT,36000,15.2,0,0,6
37681182,Charged Off,C,15000, 60 months,RENT,88000,18.42,0,1,19
37681186,Charged Off,B,20000, 36 months,MORTGAGE,150000,25.59,0,2,25
37671229,Charged Off,C,7600, 36 months,MORTGAGE,47000,20.91,2,0,10
37641163,Charged Off,D,1500, 36 months,RENT,40000,21.540001,11,0,28
37701186,Charged Off,C,20000, 36 months,RENT,75000,14.28,0,0,4
37831133,Charged Off,F,26575, 60 months,RENT,70000,35.220001,1,0,29
37731161,Charged Off,D,16450, 36 months,MORTGAGE,110000,10.89,0,0,38
37621201,Charged Off,B,12000, 36 months,RENT,45000,29.15,0,0,15
37691252,Charged Off,A,12000, 36 months,OWN,77500,16.719999,0,1,24
37741188,Charged Off,D,28000, 36 months,RENT,110000,37.029999,0,0,21
37781176,Charged Off,D,27725, 60 months,MORTGAGE,90300,33.779999,0,0,65
37660632,Charged Off,A,15000, 36 months,MORTGAGE,79000,22.57,0,0,24
36250156,Charged Off,B,12000, 36 months,RENT,52000,23.93,0,0,35
36801263,Charged Off,E,24125, 60 months,RENT,55000,26.879999,0,0,13
37157569,Charged Off,C,19725, 60 months,MORTGAGE,52000,19.200001,0,0,23
37711180,Charged Off,D,9600, 36 months,RENT,68000,15.71,0,1,24
37621134,Charged Off,B,10000, 36 months,MORTGAGE,87000,7.2600002,0,0,18
37691239,Charged Off,B,20000, 60 months,MORTGAGE,82500,5.0799999,0,0,27
37751141,Charged Off,D,8000, 36 months,MORTGAGE,82000,18.91,1,2,16
37661159,Charged Off,D,18000, 60 months,MORTGAGE,74200,23.18,1,0,40
35998372,Charged Off,E,11200, 60 months,RENT,32000,11.29,0,1,38
36830340,Charged Off,C,8000, 36 months,RENT,115000,7.8699999,0,2,13
36301887,Charged Off,F,14375, 60 months,RENT,40000,11.49,0,0,13
36840313,Charged Off,B,20000, 36 months,MORTGAGE,85000,9.9300003,1,0,33
37841134,Charged Off,E,14000, 60 months,MORTGAGE,98000,36.68,0,0,73
37611198,Charged Off,B,15000, 36 months,MORTGAGE,66000,17.16,0,0,32
37720274,Charged Off,B,28000, 60 months,RENT,95000,27.950001,0,0,50
37601192,Charged Off,A,6500, 36 months,RENT,100000,11.13,0,1,15
37711097,Charged Off,C,3000, 36 months,RENT,64000,12.9,0,0,26
37631096,Charged Off,C,4800, 36 months,MORTGAGE,92000,14.22,0,2,42
37227681,Charged Off,F,26000, 60 months,RENT,77850,21.639999,0,2,18
37651004,Charged Off,B,8000, 36 months,OWN,125000,13.18,2,2,62
37621122,Charged Off,C,22000, 60 months,MORTGAGE,95000,24.67,0,2,33
37841045,Charged Off,A,19200, 36 months,MORTGAGE,70000,17.059999,0,2,18
37640707,Charged Off,D,5300, 36 months,RENT,45000,6.1100001,0,4,8
37821070,Charged Off,B,16000, 60 months,OWN,215000,14.8,0,0,15
36801858,Charged Off,D,9600, 36 months,MORTGAGE,60000,11.28,0,0,13
37701093,Charged Off,C,11200, 36 months,RENT,55000,27.969999,0,2,26
37821124,Charged Off,C,2800, 36 months,RENT,92000,24.120001,0,1,30
37691001,Charged Off,B,12825, 60 months,MORTGAGE,100000,7.6199999,3,0,40
37711076,Charged Off,A,10000, 36 months,MORTGAGE,58500,25.6,0,0,37
36330783,Charged Off,D,12800, 60 months,RENT,32000,14.59,0,0,12
37741005,Charged Off,A,15000, 36 months,MORTGAGE,40000,11.64,0,0,33
37760780,Charged Off,F,4850, 36 months,MORTGAGE,48000,20.950001,4,0,31
37721033,Charged Off,E,17600, 60 months,MORTGAGE,55000,22.870001,1,0,31
37811016,Charged Off,B,4200, 36 months,OWN,30500,29.360001,0,1,31
37601144,Charged Off,D,8000, 36 months,OWN,40000,10.23,0,0,15
37661000,Charged Off,D,10500, 36 months,RENT,45000,38.689999,1,2,19
37620251,Charged Off,E,11000, 60 months,RENT,56000,25.4,1,0,25
37650924,Charged Off,B,7000, 36 months,OWN,125000,15.48,0,0,41
37801015,Charged Off,B,7000, 36 months,RENT,40000,12.06,1,1,20
37770217,Charged Off,B,20000, 60 months,MORTGAGE,80000,19.440001,0,0,32
37800700,Charged Off,E,2650, 36 months,RENT,82000,8.9399996,0,2,18
36441321,Charged Off,D,15000, 36 months,RENT,66000,27.18,0,1,35
37681000,Charged Off,C,23000, 60 months,MORTGAGE,83000,15.34,1,0,32
37770732,Charged Off,D,24000, 60 months,MORTGAGE,95000,31.16,0,1,25
37720986,Charged Off,C,7000, 36 months,OWN,22000,13.15,0,0,9
37671000,Charged Off,D,15800, 60 months,MORTGAGE,52000,9.9700003,1,1,13
37611067,Charged Off,A,8000, 36 months,MORTGAGE,40000,32.82,0,1,46
37840996,Charged Off,E,11200, 60 months,MORTGAGE,58000,17.15,0,1,26
37740924,Charged Off,G,11175, 60 months,RENT,62000,12.5,0,2,13
37650856,Charged Off,E,7625, 36 months,MORTGAGE,24012,31.58,0,0,24
37327772,Charged Off,D,20000, 60 months,RENT,60000,26,1,1,11
37830919,Charged Off,D,2400, 36 months,RENT,16000,3.3,0,2,4
37601021,Charged Off,F,35000, 60 months,MORTGAGE,160000,10.75,0,1,26
37670956,Charged Off,A,5000, 36 months,RENT,80000,14.04,0,0,25
37670900,Charged Off,A,6100, 36 months,RENT,40000,14.73,0,0,22
37720913,Charged Off,C,2000, 36 months,OWN,18000,26.67,0,2,19
37830853,Charged Off,E,10050, 60 months,RENT,33000,34.619999,0,2,25
37720827,Charged Off,C,18000, 36 months,RENT,90000,22.68,0,2,24
37820872,Charged Off,C,15000, 36 months,RENT,42000,29.200001,0,2,18
37137976,Charged Off,C,35000, 60 months,MORTGAGE,95000,34.889999,0,1,73
37067795,Charged Off,A,24000, 36 months,RENT,140000,6.9200001,1,0,17
37820621,Charged Off,C,19200, 60 months,RENT,55000,27.709999,0,1,43
37660837,Charged Off,B,8400, 36 months,RENT,44000,22.18,0,1,34
37730866,Charged Off,B,8000, 36 months,MORTGAGE,35000,21.26,0,0,16
37600985,Charged Off,F,33700, 60 months,RENT,130000,18.5,0,0,24
37770851,Charged Off,B,15000, 36 months,MORTGAGE,65000,23.02,0,1,33
37760815,Charged Off,E,11975, 60 months,MORTGAGE,48000,31,0,1,27
37830734,Charged Off,D,20750, 36 months,OWN,65000,16.709999,0,0,23
37600717,Charged Off,D,10750, 36 months,RENT,30000,11.56,0,0,6
37660867,Charged Off,F,28775, 36 months,RENT,127594.05,13,0,2,15
37760802,Charged Off,B,16800, 60 months,MORTGAGE,77000,20.370001,6,0,36
37800869,Charged Off,C,30000, 60 months,MORTGAGE,125000,12.62,0,0,17
37640823,Charged Off,C,16000, 36 months,RENT,225000,11.35,4,2,11
37680811,Charged Off,D,24000, 60 months,RENT,62000,19.25,0,0,17
35813728,Charged Off,B,16000, 60 months,MORTGAGE,92000,17.959999,0,0,17
37670606,Charged Off,D,8975, 36 months,RENT,65000,10.04,0,2,17
37830749,Charged Off,D,11200, 36 months,RENT,33000,21.379999,0,0,10
37690850,Charged Off,C,35000, 60 months,MORTGAGE,75000,20.799999,0,0,32
37660825,Charged Off,E,16000, 36 months,MORTGAGE,47000,13.33,0,2,21
37690893,Charged Off,D,10550, 60 months,RENT,47000,30.110001,0,1,36
36480120,Charged Off,D,16000, 60 months,MORTGAGE,50000,8.3500004,0,1,7
37830531,Charged Off,C,24000, 60 months,MORTGAGE,50000,24.629999,0,0,13
37840797,Charged Off,F,28000, 60 months,MORTGAGE,210000,17.51,1,4,30
37810806,Charged Off,E,20000, 60 months,MORTGAGE,120000,1.04,0,1,9
36361346,Charged Off,D,10000, 36 months,RENT,42000,24.059999,1,0,24
37670721,Charged Off,A,14000, 36 months,RENT,45000,19.51,2,0,32
37660744,Charged Off,A,10000, 36 months,MORTGAGE,72000,22.52,0,2,25
37800787,Charged Off,B,25000, 60 months,MORTGAGE,64000,29.139999,0,2,55
37700784,Charged Off,B,8000, 36 months,RENT,65000,18.32,1,2,30
37780755,Charged Off,B,5000, 36 months,RENT,62000,16.139999,0,1,25
37840787,Charged Off,A,20000, 36 months,RENT,47000,16.01,0,0,26
37700684,Charged Off,E,4450, 36 months,RENT,42000,13.78,0,0,5
37740775,Charged Off,C,15000, 36 months,MORTGAGE,200000,20.559999,0,4,26
37600823,Charged Off,D,10000, 60 months,RENT,29400,38.529999,0,0,44
35733259,Charged Off,C,4000, 36 months,OWN,35000,13.44,0,2,28
37830648,Charged Off,D,18450, 60 months,MORTGAGE,42000,25,0,0,12
37217969,Charged Off,F,24000, 60 months,RENT,80000,17.26,0,2,31
37640680,Charged Off,C,17000, 36 months,RENT,45000,16.77,0,0,17
37810752,Charged Off,A,16000, 36 months,MORTGAGE,180000,7.52,0,1,64
37780661,Charged Off,C,21825, 36 months,MORTGAGE,52000,26.540001,0,0,26
37750474,Charged Off,D,14825, 36 months,MORTGAGE,57000,21.799999,0,1,41
37730591,Charged Off,C,21550, 60 months,RENT,45000,28.51,0,1,17
37750672,Charged Off,E,18825, 60 months,RENT,44977,31.75,0,0,44
37670679,Charged Off,C,8400, 36 months,MORTGAGE,90000,11.81,0,2,38
37670733,Charged Off,B,35000, 36 months,MORTGAGE,265000,23.940001,0,0,35
37810781,Charged Off,D,13825, 60 months,RENT,33000,18.4,0,0,28
37610683,Charged Off,B,5000, 36 months,MORTGAGE,62000,22.690001,0,0,22
37670589,Charged Off,A,9600, 36 months,MORTGAGE,36270,18,0,0,32
37700606,Charged Off,C,18000, 36 months,RENT,86000,7.3000002,0,0,6
35358431,Charged Off,A,28000, 36 months,MORTGAGE,240000,18.200001,0,0,56
37710643,Charged Off,F,26400, 60 months,RENT,110000,22.559999,1,2,49
37720632,Charged Off,C,8000, 36 months,OWN,90000,31.719999,0,1,63
36671120,Charged Off,E,18625, 60 months,RENT,44500,20.68,0,0,14
37087314,Charged Off,B,8000, 36 months,RENT,205000,2.3800001,2,0,22
37700609,Charged Off,B,16000, 36 months,MORTGAGE,90000,25.92,0,2,29
37680611,Charged Off,C,2800, 36 months,RENT,27000,24.709999,0,0,15
37760630,Charged Off,C,3000, 36 months,RENT,58673,31.93,0,2,18
37780548,Charged Off,E,30000, 60 months,RENT,70000,20.639999,0,5,46
37167997,Charged Off,D,3400, 36 months,RENT,50000,30.389999,0,1,29
37051344,Charged Off,D,20000, 60 months,MORTGAGE,44000,12.52,0,1,25
37780509,Charged Off,F,31200, 60 months,RENT,125000,16.790001,0,1,25
37830462,Charged Off,D,20000, 60 months,RENT,90000,11.65,0,0,26
37710397,Charged Off,E,9925, 36 months,MORTGAGE,42500,28.549999,0,0,11
37700530,Charged Off,C,13575, 36 months,MORTGAGE,102000,9.0699997,1,0,36
37670512,Charged Off,D,15000, 36 months,OWN,45000,39.57,0,1,52
37770556,Charged Off,C,4800, 36 months,OWN,23900,24.389999,0,0,18
37700172,Charged Off,C,9000, 36 months,RENT,60000,12.7,0,4,54
37680469,Charged Off,C,14975, 36 months,MORTGAGE,30000,8.6000004,0,0,17
37710563,Charged Off,D,16800, 60 months,RENT,50000,14.91,1,1,14
37820574,Charged Off,C,17000, 36 months,MORTGAGE,69444,31.85,0,0,28
37740591,Charged Off,C,15000, 36 months,RENT,50000,23,0,0,14
37790533,Charged Off,F,12000, 60 months,RENT,55000,15.82,0,0,12
37790581,Charged Off,D,5000, 36 months,RENT,21800,34.639999,0,0,17
37600653,Charged Off,B,10800, 36 months,OWN,39000,22.889999,0,0,27
37760561,Charged Off,A,7500, 36 months,MORTGAGE,74500,29.950001,0,0,30
37810629,Charged Off,C,8400, 36 months,MORTGAGE,60000,4.98,1,1,15
37700562,Charged Off,B,12000, 36 months,RENT,140000,23.52,3,0,19
37780543,Charged Off,C,2500, 36 months,MORTGAGE,51000,16.85,0,0,9
37820602,Charged Off,B,20000, 36 months,OWN,155000,22.450001,0,0,34
37730531,Charged Off,C,26000, 60 months,OWN,80000,21.889999,0,1,29
37740560,Charged Off,D,23000, 60 months,MORTGAGE,84000,12.2,0,0,21
37820592,Charged Off,D,3000, 36 months,RENT,45000,26,0,0,22
37770528,Charged Off,E,20000, 60 months,MORTGAGE,83000,28.959999,0,0,16
37720564,Charged Off,D,14000, 60 months,RENT,58000,15.1,0,2,38
37780576,Charged Off,C,12000, 60 months,MORTGAGE,35750,25.51,0,0,18
37730526,Charged Off,A,17025, 36 months,RENT,34171,23.360001,0,0,21
37840239,Charged Off,D,14375, 60 months,RENT,70000,23.32,0,0,30
37700459,Charged Off,C,15000, 36 months,MORTGAGE,71000,23.629999,0,0,36
37770466,Charged Off,D,6500, 36 months,RENT,43000,38.119999,0,1,22
37670485,Charged Off,D,22000, 36 months,MORTGAGE,50000,34.540001,0,0,33
37780496,Charged Off,F,24725, 60 months,MORTGAGE,86000,9.6300001,0,0,10
36850123,Charged Off,F,35000, 60 months,MORTGAGE,94000,31.35,0,0,27
37640518,Charged Off,C,11000, 60 months,OWN,46000,15,0,0,23
37620472,Charged Off,B,15000, 36 months,MORTGAGE,72800,29.540001,0,3,37
37710539,Charged Off,A,10000, 36 months,RENT,49000,17.07,0,0,11
37660526,Charged Off,E,1200, 36 months,RENT,38000,20.15,1,3,25
37650178,Charged Off,E,21750, 60 months,RENT,54600,31.469999,0,2,32
37770479,Charged Off,D,15000, 60 months,RENT,96000,13.95,0,1,10
37840466,Charged Off,B,20000, 60 months,MORTGAGE,105000,21.440001,0,0,15
37740517,Charged Off,C,10000, 36 months,MORTGAGE,127920,25.41,0,0,24
37710526,Charged Off,G,11475, 60 months,MORTGAGE,89000,1.28,2,0,21
37690465,Charged Off,B,25000, 60 months,MORTGAGE,55000,23.389999,0,1,16
37680332,Charged Off,A,28000, 36 months,OWN,170000,11.38,1,0,33
37730427,Charged Off,G,11850, 60 months,RENT,33000,28.84,0,0,18
37790392,Charged Off,C,12000, 36 months,RENT,70000,11.16,0,2,8
37630396,Charged Off,D,23300, 60 months,MORTGAGE,82000,18.969999,0,0,31
37750435,Charged Off,D,19750, 60 months,MORTGAGE,82000,22.709999,0,2,32
37780375,Charged Off,E,20000, 60 months,RENT,48500,16.360001,0,0,11
37770370,Charged Off,C,30000, 60 months,RENT,90000,16.889999,0,1,26
37720144,Charged Off,E,18650, 60 months,MORTGAGE,85000,13.41,1,1,16
37327458,Charged Off,B,10000, 36 months,MORTGAGE,75000,21.5,1,0,24
37740306,Charged Off,D,26925, 36 months,OWN,75000,38.990002,0,0,69
37840369,Charged Off,A,7000, 36 months,MORTGAGE,95000,6.8000002,0,0,20
37780366,Charged Off,C,7000, 36 months,OWN,35000,16.26,0,1,15
36211407,Charged Off,B,12000, 36 months,RENT,67000,24.629999,0,1,22
37068318,Charged Off,D,21000, 60 months,MORTGAGE,110000,22.440001,0,1,27
37800417,Charged Off,D,12000, 60 months,MORTGAGE,67000,22.26,0,2,23
37830327,Charged Off,E,25000, 60 months,RENT,110000,20.98,0,1,25
37650413,Charged Off,B,16000, 60 months,OWN,48000,29.299999,0,0,46
37760412,Charged Off,B,20000, 60 months,MORTGAGE,70000,19.34,0,0,19
37740382,Charged Off,D,7200, 36 months,OWN,70720,23.450001,0,0,15
37650362,Charged Off,B,9750, 36 months,RENT,80000,27.75,0,0,31
36800985,Charged Off,D,6900, 36 months,RENT,28000,33.130001,0,0,26
37800313,Charged Off,C,5250, 36 months,RENT,54000,11.67,0,1,17
37660335,Charged Off,G,35000, 60 months,RENT,103000,13.55,0,3,36
37690317,Charged Off,C,4800, 36 months,RENT,78000,16.02,1,0,53
37760342,Charged Off,E,22525, 60 months,RENT,49000,33.599998,0,0,18
37820328,Charged Off,D,9600, 36 months,RENT,106000,18.700001,0,1,34
37630327,Charged Off,D,24625, 36 months,MORTGAGE,65000,20,0,1,31
37790345,Charged Off,E,15925, 60 months,RENT,40000,28.690001,1,1,33
37780285,Charged Off,E,11950, 60 months,RENT,40000,39.919998,0,2,19
37567133,Charged Off,F,13250, 60 months,OWN,35000,34.740002,0,1,23
37740294,Charged Off,C,35000, 60 months,MORTGAGE,125000,20.799999,0,2,38
36801343,Charged Off,E,19550, 60 months,RENT,68000,29.879999,1,0,17
37077574,Charged Off,C,28250, 60 months,MORTGAGE,110000,6.5999999,0,0,22
36420920,Charged Off,E,22675, 36 months,RENT,105000,25.24,2,1,40
37690367,Charged Off,B,2100, 36 months,MORTGAGE,45000,7.79,4,0,31
37750328,Charged Off,G,18675, 60 months,MORTGAGE,52000,17.98,0,0,25
37800234,Charged Off,C,8000, 36 months,OWN,97000,16.07,0,1,30
37780242,Charged Off,B,4800, 36 months,MORTGAGE,70000,28.1,1,1,27
37660217,Charged Off,C,8000, 36 months,MORTGAGE,45000,20.27,0,1,39
37790277,Charged Off,C,12550, 36 months,MORTGAGE,37000,19.870001,0,1,26
37329171,Charged Off,D,35000, 60 months,RENT,170000,7.54,0,0,14
37780243,Charged Off,F,10000, 60 months,RENT,40000,23.219999,0,2,9
37620258,Charged Off,B,2400, 36 months,RENT,25200,15.19,0,0,8
37720357,Charged Off,F,10000, 60 months,OWN,35000,20.950001,0,0,36
37750182,Charged Off,D,11950, 60 months,RENT,65400,39.299999,0,0,11
37750248,Charged Off,C,24000, 60 months,MORTGAGE,80000,16.41,0,1,22
37820242,Charged Off,C,24000, 60 months,RENT,69000,23.969999,0,0,31
37640271,Charged Off,G,31175, 60 months,MORTGAGE,71000,19.43,0,0,59
37840172,Charged Off,D,30000, 36 months,RENT,110000,13.12,2,0,32
37730243,Charged Off,C,14000, 36 months,MORTGAGE,62000,20.889999,0,0,28
37660235,Charged Off,D,25000, 60 months,MORTGAGE,79000,31.52,0,0,28
37770240,Charged Off,A,10000, 36 months,MORTGAGE,100000,5.2600002,1,3,26
37660294,Charged Off,E,10000, 60 months,MORTGAGE,151000,26.200001,3,4,57
37328430,Charged Off,C,16150, 36 months,RENT,120000,9.1800003,0,0,14
37328228,Charged Off,E,3000, 36 months,RENT,17500,20.1,0,2,31
37810284,Charged Off,C,6000, 36 months,MORTGAGE,29000,24.790001,0,0,13
37620226,Charged Off,C,10000, 36 months,MORTGAGE,82000,16.049999,0,0,17
37750220,Charged Off,E,25000, 60 months,RENT,82000,22.450001,0,1,48
37700240,Charged Off,E,21975, 60 months,MORTGAGE,50000,31.950001,0,1,19
37840162,Charged Off,B,9000, 36 months,RENT,58580,13.77,0,1,30
37680154,Charged Off,A,21000, 36 months,MORTGAGE,98831,31.860001,0,1,43
37690155,Charged Off,B,16575, 36 months,MORTGAGE,90000,22.950001,0,0,22
37720255,Charged Off,A,6000, 36 months,RENT,102000,18.129999,0,1,31
37760164,Charged Off,C,10800, 36 months,RENT,45000,7.0100002,1,0,21
34964007,Charged Off,C,14400, 36 months,RENT,60000,18.02,0,0,31
37640197,Charged Off,D,15000, 60 months,MORTGAGE,48000,11.8,0,0,34
37800221,Charged Off,D,16750, 36 months,RENT,40000,25.48,0,1,14
37670169,Charged Off,F,35000, 60 months,RENT,95000,24.65,0,1,46
36591137,Charged Off,D,12075, 60 months,RENT,32000,30.27,0,3,15
37077869,Charged Off,C,8500, 36 months,RENT,30000,14.4,0,0,16
37730154,Charged Off,C,20000, 60 months,MORTGAGE,103000,17.35,0,2,21
37630174,Charged Off,C,20000, 36 months,RENT,75000,18.91,1,0,27
37610190,Charged Off,B,12000, 60 months,OWN,36000,12.56,0,0,27
37600185,Charged Off,D,18000, 60 months,MORTGAGE,54000,21.290001,1,1,37
37278027,Charged Off,E,18000, 60 months,MORTGAGE,103000,19.389999,0,3,35
37730172,Charged Off,F,35000, 60 months,MORTGAGE,225000,13.35,0,4,43
37610196,Charged Off,D,10000, 60 months,RENT,45000,20.049999,1,0,25
37750183,Charged Off,E,18000, 60 months,MORTGAGE,91000,17.83,2,1,20
